id;nombre;departamento_id;dane_id
842;SAN LUIS;28;73678000
849;SAN MARTÍN;11;20770000
848;SAN MARTÍN;19;50689000
832;SAN JOSÉ DEL GUAVIARE;16;95001000
922;SINCELEJO;27;70001000
930;SOGAMOSO;6;15759000
931;SOLANO;8;18756000
947;SUAZA;17;41770000
933;SOLITA;8;18785000
934;SOMONDOCO;6;15761000
972;TARQUI;17;41791000
977;TELLO;17;41799000
937;SOPLAVIENTO;5;13760000
938;SOPÓ;13;25758000
939;SORA;6;15762000
940;SORACÁ;6;15764000
941;SOTAQUIRÁ;6;15763000
983;TERUEL;17;41801000
943;SUAITA;26;68770000
984;TESALIA;17;41797000
945;SUÁREZ;10;19780000
948;SUBACHOQUE;13;25769000
953;SUPATÁ;13;25777000
954;SUPÍA;7;17777000
956;SUSA;13;25779000
957;SUSACÓN;6;15774000
958;SUTAMARCHÁN;6;15776000
960;SUTATENZA;6;15778000
991;TIMANÁ;17;41807000
963;TALAIGUA NUEVO;5;13780000
964;TAMALAMEQUE;11;20787000
965;TÁMARA;9;85400000
966;TAME;3;81794000
946;SUÁREZ;28;73770000
968;TAMINANGO;20;52786000
969;TANGUA;20;52788000
1050;VENADILLO;28;73861000
979;TENERIFE;18;47798000
974;TASCO;6;15790000
975;TAURAMENA;9;85410000
955;SURATÁ;26;68780000
978;TENA;13;25797000
980;TENJO;13;25799000
981;TENZA;6;15798000
1056;VETAS;26;68867000
986;TIBANÁ;6;15804000
987;TIBASOSA;6;15806000
1034;URIBE;19;50370000
992;TIMBÍO;10;19807000
993;TIMBIQUÍ;10;19809000
994;TINJACÁ;6;15808000
995;TIPACOQUE;6;15810000
996;TIQUISIO;5;13810000
1009;TORO;29;76823000
998;TOCA;6;15814000
999;TOCAIMA;13;25815000
1000;TOCANCIPÁ;13;25817000
1001;TOGÜÍ;6;15816000
1013;TRUJILLO;29;76828000
1005;TONA;26;68820000
1006;TÓPAGA;6;15820000
1007;TOPAIPÍ;13;25823000
1016;TULUÁ;29;76834000
1010;TOTA;6;15822000
1011;TOTORÓ;10;19824000
1012;TRINIDAD;9;85430000
1028;ULLOA;29;76845000
1055;VERSALLES;29;76863000
1060;VIJES;29;76869000
1018;TUNUNGUÁ;6;15832000
1019;TÚQUERRES;20;52838000
1020;TURBACO;5;13836000
1021;TURBANÁ;5;13838000
1035;URIBIA;15;44847000
1023;TURMEQUÉ;6;15835000
1024;TUTA;6;15837000
1025;TUTAZÁ;6;15839000
1026;UBALÁ;13;25839000
1037;URUMITA;15;44855000
982;TEORAMA;21;54800000
1030;UNE;13;25845000
989;TIBÚ;21;54810000
