id;nombre;servicio_id
1;Generación;1
2;Transmisión;1
3;Distribución;1
4;Comercialización;1
5;Pérdidas;1
6;Restricciones;1
7;Compra;2
8;Distribución;2
9;Transporte;2
10;Confiabilidad;2
11;Comercialización;2
